,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,Product Description,State,Review,Helpful,Date
6582,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,It’s very basic not in-depth enough for me personally,Avril,5.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,"Didn’t like how short the area to write in was daily, felt you couldn’t properly express your thoughts. I enjoy how it makes you reflect",0,2020-02-09
6592,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Positivity,bc,4.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,Bought this for my teenage daughter and she loves it... brings positivity to her day and encourages her to do better x,0,2020-02-01
6593,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Great,L,5.0,United Kingdom,Colour Name: GreySize Name: English,Verified Purchase,Excellent quality. Really easy to follow and organise your thoughts. Can’t wait to get started with it! 😊,0,2019-12-26
6595,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Great add on to blue one,H. Anderson,5.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,Absolutely add on to the blue one.... It's kept me on the straight and narrow,0,2020-02-20
6605,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Excellent,derek,5.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,The person I bought this book for thinks it is fantastic,0,2020-01-16
6606,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Perfect!,Amazon Customer,5.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,Simple to use and well asked questions. I would definately recommend,0,2020-01-04
6609,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Good,Mo,5.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,It’s a nice little refresher to let you reflect on your day.,0,2020-01-12
6615,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,A daily must have,Zoe Czerek,5.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,Love this and so inspiring,0,2020-01-04
6616,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Love it.,Amazon Customer,5.0,United Kingdom,Colour Name: PinkSize Name: English,Verified Purchase,Nicely printed. Easy to use :),0,2019-12-11
6624,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Focusing on gratitude and positivity for mental health.,Rach,5.0,United Kingdom,Colour Name: PinkSize Name: English,,"I have had the 6 minute diary twice now, also my husband has brought one choosing it over other journals. I use the second section as my top things I need to focus on to achieve for the day.  The gratitude, positive affirmation, deeds of the day, improvements and experiences are all areas that make you think about self improvement and focus on positivity which helps overall with mental health and life choices.  The journal's quotes and habit tracking has helped me with my anxiety and getting me back on track to normality. There are a few other journals on the market but this one has helped me the most.",0,2020-01-28
6630,"The 6-Minute Diary Pure | Gratitude Journal, Mindfulness Journal for Men & Women | 6 Minutes a Day for more Mental Health, Happiness & Self Care",4.6,6727,nan,Game changer!,Aieshweryaa,5.0,United Kingdom,Colour Name: PinkSize Name: English,,"This diary has helped through some difficult times. It's really helped me change my perspective on a lot of things. I 100% recommend this to anyone who is looking to make small changes everyday to alter the way they think, to reflect and to focus your goals.",0,2020-01-02
8210,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Brittle toenails? Yellow? Buy this!,bumblebec03,5.0,United Kingdom,,Verified Purchase,"Right, I have been a cyclist all my life and do you know what I have guys? Monster munch feet, horrible yellow toenails... I know right? Absolutely horrible vision for you all, so I have tried everything, tablets nope, creams nope, everything! but then a vet friend said hey, try this product which is mainly used for animals. I laughed, then had more wine and thought ahhh... Go on, and my goodness what a brilliant product! If your toenails are yellow, brittle... One could say like a horse hoof.... Then, this product is for you. Also just want to say that woman who uploaded pictures of the worst case scenario complications of this product is being completely silly, I mean it's exactly the same principle when you take any medication, they say 1 in 10,000 MIGHT suffer a reaction so pffttt. I've not started barking yet so I'm pretty sure it's safe AND I have healthy nails... *neigh*",43,2020-02-18
8222,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,This helped me clear my acne BUT..,zahra,5.0,United Kingdom,,Verified Purchase,"I have been suffering from acne for years and years and i’ve tried many cleansers and i take pills to help me with my hormones (hormonal acne) but nothing really felt like it was working. The hibiclens was amazing, after one day of using it i saw the biggest results, the stubborn spots on my face was shrinking and my pores were smaller than ever. BUT make sure you’re not using this everyday. Use it at night every 2 days as it could make your face more sensitive and it can worsen your face but if used the right way it could make you look amazing!",8,2019-12-31
8228,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,great product worked well for my lovely old dog,Lisa G.,5.0,United Kingdom,,Verified Purchase,"got a old collie molly shes nearly 16 last 3 months shes not been great with being very itchy its cost me a fortune to get told change her diet buy this to de flea,buy this to treat mites do this buy this at £££  buy this at £££ here is your bill but no change so paying hundreds no change in my poor dog but nothing in the way of a appology off the vet!!,,so done some searching and read up on this at £7  diluted some in a bucket got it on her rubbed it well in over a period of 10 minutes made sure to get all the bits were she had been itching and her fur was gone or thin but a lot on her back at base of tail lots of scabs were she was biting to itch herself and what do you know after 1 wash she is itching very little in 2 days from her wash her scabs are gone and she is not itchy there no more incredible all the money the so called professionals and all i can put it down to is she did have a skin irritation,,i am going to bath her another 2 times over the next week and hopefully she will be ok but i am going to bath her every month or 2 with this just as a treatment to make sure she doesnt have to go through that no more she was absolutely demented with it,,she is now catching up on her sleep but in a lot better spirits.",4,2020-01-05
8230,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,SIX-hours Hospital Standard Protection for the Hands!!,London Review Lady,5.0,United Kingdom,,Verified Purchase,"Thankfully, I thought about this product as soon as the virus that we all want to be eradicated raised its head. Well, this was probably my best purchase for sanitising my hands. This gel is antiseptic and given it is used before conducting surgery and minor operations, I think it's effectiveness is unquestionable.

I am very thorough when washing my hands and usually rub the gel into my hands for around 3 minutes, with close attention to all areas and under the nails. However, the peace of mind afterwards is fantastic, as even though I take a sanitizer with me too, you feel ""bulletproof"" knowing this product has a residual effect for up to 6 hours!

The smell is pleasant and I have not had any allergic reaction despite having sensitive skin. However, this handwash is not cheap but you get what you pay for, so the peace of mind is worth every penny!!!",4,2020-03-26
8233,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Does the job.,sasha bharti,5.0,United Kingdom,,Verified Purchase,"I had Alaskan malamute who had a hot spot on her cheek and top of her head and needed to clean the area 4 times a day and couldn’t get any hibiscrud from work as we were away so ordered some off amazon it’s the same stuff we use just in a small bottle. Did the job and really helped to clear up the hot spots. If your using this on your pet you must NOT use it neat you need to dilute it 1 part hibiscrub to 6 parts water , using it neat will aggravate the skin more.",6,2020-03-12
8256,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Well worth the purchase,Kate Matthews,5.0,United Kingdom,,Verified Purchase,"Considering I was charged £7.50 for a tiny pill bottle full of hibiscrub from my vet this bottle is excellent value for money, not only has it worked wonders on my dogs sensitive, itchy skin it has helped with my childs teenage spots, like a bottle of miracle scrub and if it's good enough for surgeons to use before surgery it's good enough for use in my house",2,2020-02-04
8270,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,"Don,t expect great lather",Mrs C Hutchinson.,5.0,United Kingdom,,Verified Purchase,Item arrived promptly.  I have used it once so far to help problems with my dog's skin.  It was easy enough to use although came out of the container very quickly so be careful not to spill.  It does not lather up much.  I will report results on dogs skin when it has time to workUpdate:  the greasy skin and patches of hair loss have almost completely disappeared.  Occasionally a small patch will appear but goes away quickly with treatment of the area.,1,2020-03-21
8295,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Effective for many first aid and medical applications,Eve,5.0,United Kingdom,,Verified Purchase,"Ideal for all sorts of first aid applications, skin cleansing before and after operations, pet first aid (must be diluted).  Also great for bathing pets with yeast or bacterial skin problems, especially on the paws affected. Always follow your vets advice, but buying online will likely be much cheaper that from the vets if you are using regularly.",2,2020-01-20
8299,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Healed my feet in days,Adrian,5.0,United Kingdom,,Verified Purchase,"I had smelly feet and peeling skin, particularly in between my toes, and read a recommendation to try applying some of this in between my toes, leave for a couple minutes, then wash off.  I've done that once a day for the last four days, and now my skin is practically entirely good as new, with no odour whatsoever, even after a long day of walking.I wasn't sure how effective this would be, but it has definitely surpassed any expectations I had.  It's worked incredibly well, and incredibly quickly.",1,2020-02-27
8306,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Pleased.,Anon,5.0,United Kingdom,,Verified Purchase,"Great stuff for cleaning my dogs chops. I was using it every other day, but eventually decided he needed the operation. Now I use it weekly to give his chops a good clean. I believe it's great stuff. I dilute it only 1 teaspoon of stuff to quarter of a pint of warm water, and use cotton pads.",1,2020-03-08
8338,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Helped me with folliculitis decalvans,Goga Ioan,5.0,United Kingdom,,Verified Purchase,"I seen few doctors and all of them suggested that this doesn't have a permanent cure, i have done few antibiotic treatment of over 3 months but this product reduced the most the number of spots and itchiness that I was having. I used for the first 3 head wash and after just once a week and introduced back my normal shampoo. Has left me with a bit dry scalp but reduced the itchiness 90% and the liquid spots I was having. Bare in mind each body reacts different to each product so not all the comments will be relevant.",0,2020-03-05
8346,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Arrived damaged!,Lesley,1.0,United Kingdom,,Verified Purchase,Parcel arrived damaged and only contained one bottle instead of the two ordered???,3,2020-03-12
8351,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,"Amazing results, love it.",Redwood,5.0,United Kingdom,,Verified Purchase,"I bought this for a heat skin rash and it’s completely cleared it up whereas I’d have to use other creams for weeks to see results and as soon as I stopped it’d come straight back, whereas this is really effective!The smell is reasonably pleasant for a medicinal product, and a little goes a long way as well so this is going to last me ages, perfect!",0,2020-02-02
8357,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Use it daily in shower,penny hobbs,5.0,United Kingdom,,Verified Purchase,"Use on body daily, 2 pumps  as I had a few itchy areas I thought were caused by some kind of fungal thing, seems to have helped, and I'm sure will be very useful in summer months when getting all hot and sweaty only makes things like that worse, was told by my brother who works at a vets who use this, to go carefully with it cos its very strong so try to use minimal amount and have been fine so far, have brought a pump dispenser as its too runny to use without, and that way I'm sure it will last much longer too",0,2020-02-12
8360,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Reliable brand,sulkycat,5.0,United Kingdom,,Verified Purchase,"Thankfully I ordered this before prices went bonkers , so I can be completely honest that the price was reasonable when purchased.This is the familiar antibacterial smell from a lot of hospitals. It's reliable, good quality and easy to use.Definitely recommend.I hope you find this review helpful, thanks for reading.",0,2020-03-16
8369,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Every household needs,ellesha,5.0,United Kingdom,,Verified Purchase,"Strong product, works well I recommend every dog owner should have this product to clean the paws after every walk and to apply to sores and areas that need disinfecting if they have become red.PRODUCT WILL NEED TO BE DILUTED NOT TO BE USED AROUND EYES",0,2020-02-11
8370,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Very good product!,Paul Pirvu,5.0,United Kingdom,,Verified Purchase,We are very pleased with the results of the product and with the quality of it! Looks like soap and feels like soap! No need to use too much and is rinsing very good with running water! Symptoms of etching skin fade gradually every day after each toileting! No need to rub the skin and must be reading the information about safety use before hand!Not touching of eyes mouth or nostrils or any open wounds!Recommend for people who take care and use responsibly!,0,2020-03-18
8371,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,A definite to have in the house,Lou ♡,5.0,United Kingdom,,Verified Purchase,"This product is far cheaper than the leading UK stores - A very important item to have in the house to treat all grazes, wounds and bacteria illnesses.You can use it to clean a sore but also to wash with in the shower if you have a bacterial condition.",0,2020-01-05
8394,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great price and so many uses,R.G.B,5.0,United Kingdom,,Verified Purchase,Much cheaper than the vets or pharmacy and I use diluted for family cuts and scrapes as well as when cats have been up to mischief. I also was recommended it for my cat that had acne under his chin and it cleared it up in a couple of weeks.,0,2019-12-23
8395,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Is £19.95 the usual price?,Tazout,1.0,United Kingdom,,Verified Purchase,"Seems very expensive, but I needed these urgently as part of the procedure when medicating my cat",2,2020-03-25
8406,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great anti bacterial wash,Fae,5.0,United Kingdom,,Verified Purchase,"I used this when I was a nurse but have brought it this time because of spots on the face. I use it to face my face making sure not to get any around the eyes, if used daily the spots do clear up. I think it’s great. Great for summer when it’s sweaty you can wash with it.",0,2020-01-06
8431,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Keeps my pug fresh and itch free,Kattb76,5.0,United Kingdom,,Verified Purchase,"I love this stuff, I use it to bath my pug who is sensitive to other shampoos and gets itchy paws quite often.  I dilute it to clean his nose roll and I've never had any issues.",0,2020-02-29
8441,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Helps my acne face,Sharpie,5.0,United Kingdom,,Verified Purchase,"I bought this for my dogs red itchy skin and it worked a treat, and I have also purchased another bottle and have been using it on my acne prone skin on my face and it really is helping.",0,2020-01-23
8442,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Fantastic,Ryan,5.0,United Kingdom,,Verified Purchase,Dog was scratching a lot (border collie puppy) and had itchy dry skin. Upon using this it seemed to cure him and he has stopped ever since and his coat is now great,0,2020-03-03
8455,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,"It's gentle but, medicinal",Johnny_wheelz,5.0,United Kingdom,,Verified Purchase,"More liquid than I'd have preferred it might benefit from a pump action. Bought for medical reasons, it's improving matters.  Not too sure of ongoing need",0,2020-03-11
8463,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Successful,Wendrew,5.0,United Kingdom,,Verified Purchase,Actually use this for my dog as he has skin allergies and bathing him in a diluted solution has cleared his skin.,1,2020-03-10
8494,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Dogs paws.,Paul S.,5.0,United Kingdom,,Verified Purchase,Our dog kept licking his paws. They were red. Washing daily for a couple of weeks sorted them out. We think it was a fungal infection that just got worse with him licking it. Hibiscrub got it under control.,0,2020-01-22
8503,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great product for Pets!,CRB,5.0,United Kingdom,,Verified Purchase,"I use this to wash myself/dogs if they have a cut or any kind of skin condition. Great product, efficient service, reasonably priced.",0,2020-02-11
8516,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Do not be without this product,DA,5.0,United Kingdom,,Verified Purchase,I have used this product many times in the past on my dogs. It is excellent for cleaning wounds of any size and also as a hand cleanser.,0,2020-03-11
8520,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great value,cathy,5.0,United Kingdom,,Verified Purchase,I always have this in the house it’s great for when I bath the dogs and it helps if they have problems with paws ie itchy or sore,0,2020-02-01
8523,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Kills virus,46phil,4.0,United Kingdom,,Verified Purchase,Cannot buy anti-bacterial hand gel as all sold out  so decided to buy this instead in case of large scale Covid-19 outbreak.,0,2020-03-01
8544,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good go to item for dogs,Vickie,5.0,United Kingdom,,Verified Purchase,Excellent value for money it's a good size bottle so will last a while. I find this a ideal item to have in the cupboard for dogs,0,2020-01-08
8565,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Much cheaper than chemist,sarah poole,5.0,United Kingdom,,Verified Purchase,Great stuff as used by vets I use it on my dog as she had sore legs on the vets advice and much cheaper than vet or chemist,0,2019-12-08
8570,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Miricle in a bottle,Rachel Holder,5.0,United Kingdom,,Verified Purchase,"I originally bought this for one of my cats as they had a bacterial skin infection and it worked within a few days.

My daughter suffers with acne and was curious to see if it would work with her break outs. And her break outs are now minimal and her face is clearer after 2 weeks of using.

Will defo be buying again 😍",0,2020-03-01
8573,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Prices tripled! Due to Coronavirus???,Gadget guy,5.0,United Kingdom,,Verified Purchase,Great product. Disappointed to see that the prices have now tripled due to the Coronavirus outbreak.,0,2020-03-12
8604,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,My go to - perfect value for money and efficiently,Stray_Wolf,5.0,United Kingdom,,Verified Purchase,"My go to for any scratches/wounds that need cleaning, and is suitable for both humans and dogs when used with caution. It was also very gentle for use on tattoo healing skin and post surgery stitches.",0,2019-12-29
8613,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great stuff,Suzanne Griffiths,5.0,United Kingdom,,Verified Purchase,"This is the best thing I have ever used!! After one week of using it my skin began to look and feel clearer. Two weeks from use my skin was clear, I’ve been using for about a month and only had a couple of spots that disappeared without any problem and within a couple of days. I will definitely buy again",0,2020-03-10
8620,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Hassle free purchase,David Stevenson,5.0,United Kingdom,,Verified Purchase,Arrived within stated time.  Product as described. No issues with delivery. Without a pump like hand soap can end up using quite a bit. Need to be careful when pouring.,0,2020-03-22
8621,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Been using this for years it's brilliant,Emma Deakin,5.0,United Kingdom,,Verified Purchase,Been using this stuff for years.Was recommended this stuff from our vet years ago.Highly recommended,0,2020-02-03
8642,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,ideal,J. E. Pawson,5.0,United Kingdom,,Verified Purchase,"arrives safe and secure ,ideal ,always have some in. a must for pet owners with a yeast problem ,would buy again",0,2020-02-12
8650,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great stuff,Caroline,5.0,United Kingdom,,Verified Purchase,Excellent stuff  it keeps. My dog's skin in good shape due to skin allergy,0,2020-03-09
8657,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great for washing infections,L. Warder,5.0,United Kingdom,,Verified Purchase,This is a great product for infections. I decant into smaller bottle for use in bathroom.,0,2019-12-17
8658,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Does a great job,Faye Southall,5.0,United Kingdom,,Verified Purchase,Wanted an anti viral hand wash and this is something I used in hospital.,0,2020-03-09
8672,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Excellent,Web60,5.0,United Kingdom,,Verified Purchase,This is an excellent product lasts for ages too use this for my dogs and myself,0,2020-03-20
8673,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great price and good sized bottle.,J Collicott,5.0,United Kingdom,,Verified Purchase,"After playing lots for a little bottle at the vets, bought this and I’m very pleased with it.",0,2020-02-28
8675,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Useful item .. cheaper in Boots,Anon,5.0,United Kingdom,,Verified Purchase,Useful to have a bottle in the house. It’s just bog standard hibiscrub.,0,2020-02-23
8686,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good value item to have in the medicine cabinet,Jocasta,5.0,United Kingdom,,Verified Purchase,I'm very pleased with the size for a price much less than can be bought elsewhere.,0,2019-12-04
8723,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great for dogs with sensitive skin.,Jode Jones,5.0,United Kingdom,,Verified Purchase,Great for my dog as he has sensitive skin. It has helped tons.,0,2020-03-01
8726,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,A must have for outdoor lives,sian mcgibbon,5.0,United Kingdom,,Verified Purchase,"This is a regular prime subscription for me. Busy outside lives with the Farm and animals mean I know that everyone is thoroughly clean when using it. I’ve seen it is hospitals, doctors surgeries and the vets.",0,2020-02-23
8729,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Excellent,A Jones,5.0,United Kingdom,,Verified Purchase,Very good product.  Sorted my dogs hot spot out. Highly recommended.,0,2020-01-02
8730,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Excellent value for money,David Paul,5.0,United Kingdom,,Verified Purchase,"Excellent value for money, excellent service, thank you.",0,2020-02-01
8737,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Highly recommend,Anon,5.0,United Kingdom,,Verified Purchase,I use this product to keep small cuts and wounds clean.,0,2020-01-14
8738,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good for dogs skin conditions,nicky spencer,5.0,United Kingdom,,Verified Purchase,I use this for my dogs to clear up skin conditions.,0,2020-02-09
8739,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good value,Paulie & Tim Desmond (DeziGirl Beauty),5.0,United Kingdom,,Verified Purchase,Excellent for cleaning my dogs paws and nice smell.  Worth the money.,0,2020-01-23
8745,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,All round great,Amazon Customer,5.0,United Kingdom,,Verified Purchase,Brilliant item. Great results. Fantastic seller with value for money and swfit delivery.,0,2020-02-28
8760,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Antibacterial bodywash,Marcin S.,5.0,United Kingdom,,Verified Purchase,I must say I found this staff quite efficient. Would recommend to anyone having bacterial related skin infections. The staff needs hot water and then penetrates your skin properly.,0,2020-01-24
8761,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,"Excellent product, arrived next day",Kath Saul,5.0,United Kingdom,,Verified Purchase,"Perfect for cleaning pets wounds, as used by vets",0,2020-02-24
8779,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Dogs paws,Collette,5.0,United Kingdom,,Verified Purchase,We use this to clean a parson terriers paws. You can buy it in chemists but you have to say its for yourself or they wont give it! Weird. Vet recommended this product for red cracking doggo paws.,0,2019-12-25
8797,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Excellent,simon,5.0,United Kingdom,,Verified Purchase,Very good worth buying,0,2020-02-16
8799,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Exactly as described,Emz,5.0,United Kingdom,,Verified Purchase,Exactly as described,0,2020-02-25
8801,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Don’t yet know the effectiveness,monty,5.0,United Kingdom,,Verified Purchase,Got this to try on my dog who has a skin yeast infection,0,2020-01-21
8812,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good product,Marius,5.0,United Kingdom,,Verified Purchase,Good and safe product for dogs,0,2019-12-19
8824,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Daylight robbery!,lee,5.0,United Kingdom,,Verified Purchase,Can’t believe I only paid £7.39 in January and now it’s £21 unbelievable!!!,0,2020-03-13
8825,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Yeast infection,Zahra akbari baseri,5.0,United Kingdom,,Verified Purchase,"After 2 years trying to tackle yeast infection on my dog skin paying a lot of money to different vets this product is been a life saver,I wash my dog twice a week for last 2 month and his skin has got so much better",0,2020-02-26
8831,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Works,KASSA,3.0,United Kingdom,,Verified Purchase,It’s ok,0,2020-03-22
8832,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good,lisa s,4.0,United Kingdom,,Verified Purchase,"I used this on my dogs coat, excellent",0,2020-02-27
8836,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Fab,michelle,5.0,United Kingdom,,Verified Purchase,My dog skin is soft and smooth,0,2020-02-09
8842,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Love - everyday essential,Lani banani,5.0,United Kingdom,,Verified Purchase,Worth the buy. I buy this as I’m super anti germs and it’s perfect for the house !,0,2020-02-08
8845,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Use undiluted and leave for upto 15 mins,djm,5.0,United Kingdom,,Verified Purchase,I use this on westie. Vet told me to use undiluted on her wet fur leave for 10 to 15 minutes then wash off. Works a treat for the allergy prone west highland terrier.,0,2020-01-28
8848,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Smelt great,Vee,5.0,United Kingdom,,Verified Purchase,Got rid of smell,0,2020-02-17
8854,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great product,CFK,5.0,United Kingdom,,Verified Purchase,Great product,0,2020-01-10
8860,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,It does what it says,Pj1,5.0,United Kingdom,,Verified Purchase,Itworks,0,2020-02-29
8865,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,good quality,Amazon Customer,5.0,United Kingdom,,Verified Purchase,"Happy with item, as described.",0,2019-12-12
8866,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Worked well.,M Brown,5.0,United Kingdom,,Verified Purchase,"Did what it was designed to do, easy to use.",0,2020-01-24
8882,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good value,Mrs S A Burgess,5.0,United Kingdom,,Verified Purchase,Good value,0,2019-12-22
8883,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Excellent,lotty481,5.0,United Kingdom,,Verified Purchase,Excellent,0,2019-12-17
8886,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,"Excellent quality, service",michelle claussen,5.0,United Kingdom,,Verified Purchase,"Great product, fast delivery, great service and seller what more can I say",0,2020-02-23
8898,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Great stuff,Elaine Reynolds,5.0,United Kingdom,,Verified Purchase,"Fantastic, does a great job on my bulldog",0,2020-03-08
8922,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good product,Thomas moulding and nikki swann,5.0,United Kingdom,,Verified Purchase,Really good product love hibi scrub,0,2020-02-21
8924,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good value for money,Amazon Customer,5.0,United Kingdom,,Verified Purchase,Been getting this from the vets for my dogs bad skin and paying extortionate amounts just for the small bottle. So glad I've found it on here this is great value for money!!,0,2020-02-18
8925,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,I recomend,Johny boy 👦,5.0,United Kingdom,,Verified Purchase,I'm happy with this,0,2020-03-07
8934,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,scrub,tracy smith,5.0,United Kingdom,,Verified Purchase,a1,0,2020-02-04
8952,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Accurate from all other positive reviews,Sara,5.0,United Kingdom,,Verified Purchase,Difficult to judge dispensing amount as large pouring spout(?) Not much product needed for an excellent cleansing experience.Am yet to discover full benefits but am hopeful! Generous size. Will last a long time.,0,2020-02-19
8955,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Cheaper than a prescription,Sophie Franklin,5.0,United Kingdom,,Verified Purchase,I use this daily on my face so go through quite a lot of it - also great value as it's cheaper than a prescription,0,2020-01-22
8978,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Good value,sharon kingdom,5.0,United Kingdom,,Verified Purchase,"Trusted formula, always keep it in stock in cupboard",0,2020-03-19
8988,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Amazing for bulldog wrinkles!,Sophie.s.,5.0,United Kingdom,,Verified Purchase,"I use this on my dog, dilute it and use a cotton bud to get into the facial folds.Also used it when he broke a claw and it healed quickly with no probs!",0,2020-01-14
8991,"Hibiscrub Health Care, 500ml",4.7,10763,7.50,Very useful product,cynthia walton,4.0,United Kingdom,,Verified Purchase,General disinfectant,0,2020-02-13
