,Product,Overall Stars,Number of Reviews,Price,Title of Review,Name,Individual Review,Location,State,Review,Helpful,Date
12233,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,As excepted,Ch4yse,5.0,United Kingdom,Verified Purchase,As expected,0,2020-01-15
12243,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great xbox expansion!,PaulD,5.0,United Kingdom,Verified Purchase,"This thing worked great, its surprisingly small and portable, plugged it into my xbox one and formatted it and transferred most of my games across.  Very simple, silent in operation as far as I can tell.",0,2020-02-05
12266,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Technology,Antonio Bernabe,5.0,United Kingdom,Verified Purchase,Very good and small.,0,2019-12-31
12272,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,A great product.,Sylwester,5.0,United Kingdom,Verified Purchase,I would recommend. Fast and roomy.,0,2019-12-31
12302,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Acceptable,Adam Parsons,3.0,United Kingdom,Verified Purchase,"Does the job, however when I looked at the actual storage space there was only 1.8TB available rather than the whole 2TB.",0,2020-01-04
12316,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,"Good item, good service",Mark J,5.0,United Kingdom,Verified Purchase,"Good item, good service",0,2020-01-18
12322,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good harddrive,Rich P,4.0,United Kingdom,Verified Purchase,"I use this for my PS4 it's been brilliant, not a single problem and a great price too",0,2020-02-01
12327,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,works with ps4,Amazon Customer,5.0,United Kingdom,Verified Purchase,bought this for my Ps4 pro.works flawlessly. easy to set up. just uses USB port on playstation. cant hear any noise and a single white led on the front tells you it's working.,0,2020-02-01
12341,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great,Amazon Customer,5.0,United Kingdom,Verified Purchase,Great,0,2020-02-24
12342,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,great so far,imalive64,5.0,United Kingdom,Verified Purchase,bought 2 so far good,0,2020-01-03
12365,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Data corruption,Marty,3.0,United Kingdom,Verified Purchase,Some files became unusable very quickly,0,2020-03-03
12385,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great Hard Drive,Nuri,4.0,United Kingdom,Verified Purchase,This is a very good quality Hard Drive. It doesn't make noise and is very light.,0,2020-03-02
12389,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Perfect,JackH,5.0,United Kingdom,Verified Purchase,"Not much to say. Good price, large storage, portable.",0,2020-01-01
12421,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great compact storage,Gary Decor,5.0,United Kingdom,Verified Purchase,Great storage,1,2020-01-15
12431,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Does what it says on the tin.,Johngreenba,5.0,United Kingdom,Verified Purchase,Great little drive.  I have three now.,0,2020-01-23
12438,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great and affordable,Temmy mack,5.0,United Kingdom,Verified Purchase,Does what I says on the tin. Reliable and affordable,0,2020-02-13
12447,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great for Xbox,M. Creighton,4.0,United Kingdom,Verified Purchase,Works great on my Xbox One,1,2020-03-08
12450,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Portable,Amazon Customer,5.0,United Kingdom,Verified Purchase,Excellent does what it says on the tin,0,2020-01-11
12467,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Simple to use and effective,ArmourKingN13,5.0,United Kingdom,Verified Purchase,Simple and effective,0,2020-03-08
12471,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great long term product,Amazon Customer,5.0,United Kingdom,Verified Purchase,Arrived on time and great to add space on a ps4. Would recommend this product to anyone who needs extra storage space on their device.,0,2020-02-04
12475,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,its what i orderd,sidney emerson,5.0,United Kingdom,Verified Purchase,i am happy with product,0,2020-02-11
12513,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,"Basically,  plug and play",A Customer,5.0,United Kingdom,Verified Purchase,"Only bought to backup some files so only used a couple of times as yet.Easy to use, plug in and it's mapped to a drive.",0,2020-01-09
12515,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Easy set up,Robert Carr,5.0,United Kingdom,Verified Purchase,Easy to use.,0,2019-12-23
12525,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Simple,Lee,5.0,United Kingdom,Verified Purchase,"Just what I ordered, no more no less.",0,2020-01-23
12538,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Thank you!,Amazon Customer,5.0,United Kingdom,Verified Purchase,"Plug and play, used in my xbox as additional storage and no problems 2 month into purchase :)",1,2020-01-16
12540,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,No password protection,james f.,1.0,United Kingdom,Verified Purchase,This WD portable cannot be password protected so your important confidential data is at risk. I would not recommend this product rather go for something where your data is safe.,0,2020-01-06
12545,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Works perfectly,Jordan Cameron,4.0,United Kingdom,Verified Purchase,"Works perfectly for me, gets a bit loud sometimes but gets blocked out",0,2020-01-07
12554,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Excellent HDD,Assem Idrees,5.0,United Kingdom,Verified Purchase,"Very good, USB3 works perfectly",0,2020-01-23
12558,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,BEST BUY,Terry chapman,5.0,United Kingdom,Verified Purchase,Is to set up just received today and worked perfectly for my ps4 storage best buy you will ever make the one i did get is the 2tb drive,0,2020-03-29
12563,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Smart tv storage,Andy Brooks,5.0,United Kingdom,Verified Purchase,Perfect for recording tv programmes on my smart tv,0,2020-02-05
12577,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Storage,RICHARD ANDREWS,5.0,United Kingdom,Verified Purchase,Great does exactly as it's supposed to do.,0,2020-02-02
12579,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Exactly what I needed!,Rav Dano,5.0,United Kingdom,Verified Purchase,Big HDD capacity and small enough to carry easily! Got the 1TB version for years & is working great!,1,2019-12-31
12598,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good value storage,cssandra,5.0,United Kingdom,Verified Purchase,Cheap and practical storage solution,0,2020-03-15
12600,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good product. Will do the job,Waqas,5.0,United Kingdom,Verified Purchase,Good product. No problems so far. Been using it for over a year.,0,2019-12-03
12605,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Worth it!,Adolfo Pérez,5.0,United Kingdom,Verified Purchase,Good value for money. Works good to me.,0,2020-02-22
12611,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Works great with Mac!,Amazon Customer,5.0,United Kingdom,Verified Purchase,"Works super with my mac, i just plugged it in and off i went - didnt have to reformat",0,2020-01-03
12613,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,It really helps,m&m,5.0,United Kingdom,Verified Purchase,Perfect,0,2019-12-08
12630,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Very happy,Nick Barnes,5.0,United Kingdom,Verified Purchase,Works brilliant on my sons xbox one,0,2020-01-21
12642,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Usage,Len Goulding,5.0,United Kingdom,Verified Purchase,storing 2020 images,0,2020-01-23
12643,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Handy article,Mr J Dick,5.0,United Kingdom,Verified Purchase,Great HD and price.  Arrived quick and straightforward to use.  Thanks.,0,2020-03-02
12657,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Ok,Eva,5.0,United Kingdom,Verified Purchase,"Good one, recommended",0,2019-12-05
12661,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great storage device,Lee Greenough,5.0,United Kingdom,Verified Purchase,Nice looking and does a great job as addon storage for my ps4,0,2020-02-15
12670,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,great,Paul Barrow,5.0,United Kingdom,Verified Purchase,Simple single plug in and go...,0,2019-12-05
12672,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Compacr but powerful,Mr. R. KIRK,5.0,United Kingdom,Verified Purchase,Small and compact but ample storage for my needs,0,2020-02-23
12687,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Perfect,Sandra,5.0,United Kingdom,Verified Purchase,"Small, you can take it everywhere. It's very fast",0,2020-02-09
12690,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Very good,Harry,5.0,United Kingdom,Verified Purchase,Good,0,2020-02-03
12703,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good inexpensive external SSD,Amazon Customer,5.0,United Kingdom,Verified Purchase,"No installation required, works just like a flash drive.",0,2020-02-10
12713,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Size and price,Big Ray,5.0,United Kingdom,Verified Purchase,Works as expected. For a price is owsome quality product.,0,2019-12-06
12732,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Very good buy.,Joao Fidalgo,5.0,United Kingdom,Verified Purchase,"Very fast reader, good storage capacity and you can plug it anywhere with no issues.",0,2020-02-03
12738,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Everything I wanted,Rockwolf,5.0,United Kingdom,Verified Purchase,Perfect for backing up my photos!,0,2020-02-11
12751,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Fast and efficient,Ewan,5.0,United Kingdom,Verified Purchase,Brilliant. Fast and efficient,0,2020-02-18
12756,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great product,Jordan Brown,5.0,United Kingdom,Verified Purchase,"Great piece of kit, for storing large quantities of music, photos, work files",0,2020-01-09
12766,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Do not buy!,Mrs J Hill,1.0,United Kingdom,Verified Purchase,Terrible just freezes your computer completely not fit for purpose,0,2020-02-18
12771,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Excellent piece of kit,Mr I Booth,5.0,United Kingdom,Verified Purchase,First time I have used WD. Very fast and efficient piece of kit. Only had it for about a month but no problems so far.,0,2020-03-02
12773,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,As you hope,Owen M Wright,4.0,United Kingdom,Verified Purchase,It did what it says,0,2020-02-04
12775,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Pleased,Adam R Jones,5.0,United Kingdom,Verified Purchase,"Perfect, thank you",0,2019-12-31
12776,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good value,Stuart Wood,5.0,United Kingdom,Verified Purchase,I liked the compactness of it and I used it for memory on my PS4,0,2020-01-07
12778,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great,Mistery,5.0,United Kingdom,Verified Purchase,"Great buy, performs well.",0,2020-02-25
12823,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,usb,Jay Chu,4.0,United Kingdom,Verified Purchase,good one,0,2020-03-14
12825,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good bit of kit,PatCor,5.0,United Kingdom,Verified Purchase,"Using to store photos, Good solution to storage problems",0,2020-03-01
12846,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Xmas prezie for xbox,David Oliver,5.0,United Kingdom,Verified Purchase,Bought it for a present.,0,2020-01-13
12851,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Small and quiet,H.Bain,5.0,United Kingdom,Verified Purchase,Small and quietGlad I bought it,0,2020-02-09
12863,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great Drive,stephen farmer,5.0,United Kingdom,Verified Purchase,"Drive has loads of storage, reasonable speed, great value for money",0,2020-01-20
12879,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Storage for days,nate laight,5.0,United Kingdom,Verified Purchase,Great little portable drive. Works well with good read and write speeds.,0,2019-12-17
12899,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Does last only for a couple of months,Amazon Customer,1.0,United Kingdom,Verified Purchase,Broke down after two months not happy,0,2020-02-17
12922,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Perfect as usual,Krishna Oldrini,5.0,United Kingdom,Verified Purchase,"My favourite brand for HD. Nothing bad happened to them, fast and secure. Totally a fan.",0,2019-12-15
12935,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Does what it says on the tin,Sarah,5.0,United Kingdom,Verified Purchase,"Arrived within 2 days, very neat and compact, not much bigger than a large smartphone. Plugged straight in to ps4, had no problems",0,2020-01-12
12947,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Does what it says,Karen,5.0,United Kingdom,Verified Purchase,"Does exactly what it is meant to, great portable backup device. Quick delivery too!",0,2020-02-24
12952,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Easy to use,Jim,4.0,United Kingdom,Verified Purchase,Good size both storage and physical,0,2020-03-02
12972,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,works goood for how small and convenient that it is,Amazon Customer,5.0,United Kingdom,Verified Purchase,"Really good product, stores all my videos.. I’ve had to reformat it again but it works perfectly",0,2020-03-23
12980,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Terrible product,Mrs Carla Paul,1.0,United Kingdom,Verified Purchase,"The first one arrived was broken, the second one that has arrived has no USB cable!",0,2020-03-14
12985,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good device,M. Brigden-Rene de Cotre,5.0,United Kingdom,Verified Purchase,"Great little device, not the fastest for Time Machine backup.",0,2020-03-04
12993,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,It works,Helena,4.0,United Kingdom,Verified Purchase,"So far so good. Have to be careful, as with all other similar devices. It works well",0,2020-02-22
12994,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Failed after 3 weeks,N Cruddace,1.0,United Kingdom,Verified Purchase,Bought this on 30/12/19 and it stopped working 21/01/20 whilst backing up my laptop. Need I say more!,0,2020-01-25
12995,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Hard Drive,Rino Mazzafiore,5.0,United Kingdom,Verified Purchase,Its a pretty quick hard drive and a very handy size.,0,2020-02-06
12998,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Not good.,Adam S,1.0,United Kingdom,Verified Purchase,Died after a month. Seems bricked and I’ve given up with it after trying excessively to fix it.,0,2019-12-17
13008,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Reliable,Charli handley,5.0,United Kingdom,Verified Purchase,"Great product, super fast set up, gives me plenty more space for games on my xbox one ^.^",0,2020-01-10
13012,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Got what i wanted,Assama Mir,5.0,United Kingdom,Verified Purchase,Great item,0,2020-03-10
13028,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Speedy,Andrew,5.0,United Kingdom,Verified Purchase,Small and lightweight reliable for my ps and all my games,0,2020-03-31
13039,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Ps4 external drive.,Stuart Peach,5.0,United Kingdom,Verified Purchase,Perfect. Great price too.,0,2020-01-09
13046,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good for playstation 4,andrew galloway,5.0,United Kingdom,Verified Purchase,Works great on playstation 4.,0,2020-02-23
13049,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,5TB!!,AmazonN,5.0,United Kingdom,Verified Purchase,5tb in a portable format,0,2020-02-09
13050,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,You get what you see,MIRREN,5.0,United Kingdom,Verified Purchase,I was very happy with the purchase. It does exactly what it says there,0,2020-02-09
13052,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,A really good product!,Dimitar Samarov,5.0,United Kingdom,Verified Purchase,Looks nice and it's fast enough. A lot of capacity for a low price. Great product!!,0,2020-02-04
13055,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Buy from these people they are good,shane o.,5.0,United Kingdom,Verified Purchase,Great product fast delivery very happy,0,2020-01-24
13058,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good quality,Nik &.,5.0,United Kingdom,Verified Purchase,No problems so far. Nice and quiet.,0,2020-02-03
13064,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great HDD,Mr J Khalifa,5.0,United Kingdom,Verified Purchase,"Great product, very good quality and perfect in terms of size and portability",0,2020-02-19
13069,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,On time delivery,Tadesse Marikos,5.0,United Kingdom,Verified Purchase,Thanks very good product and reasonable prices and on time delivery,0,2020-01-22
13071,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Love it,Mark Sheehan,4.0,United Kingdom,Verified Purchase,Great size for my bag,0,2020-01-24
13080,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great bit of kit,Amazon Customer,5.0,United Kingdom,Verified Purchase,"Great value for money, versatile and well made..",0,2020-02-18
13085,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Small size and fast transfers,Thanos Kouvaras,5.0,United Kingdom,Verified Purchase,Product arrived in time. It's fast and obviously with a lot of storage.,0,2019-12-10
13086,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Works great for PS4 additional memory,Amazon Customer,5.0,United Kingdom,Verified Purchase,"Bought for my PS4 to extend memory storage, works great.",0,2020-03-03
13093,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Capacity and easy to use,Sonia J ARTEAGA-POVEDA,4.0,United Kingdom,Verified Purchase,It is a good product and the capacity is excellent.,0,2020-03-15
13095,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,GREAT FOR PS4,Adrian Christien Falconer,5.0,United Kingdom,Verified Purchase,"Simple And Straight forward use, compatible for my PS4",0,2019-12-15
13099,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Hard drive,Robert Parker,5.0,United Kingdom,Verified Purchase,Just a hard drive used for recording tv programs of the tv.,0,2020-01-20
13105,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Nil,Siddharth C,4.0,United Kingdom,Verified Purchase,Nil,0,2020-01-11
13106,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,WD 4TB Portable External Hard Drive,Charles McCabe,4.0,United Kingdom,Verified Purchase,Does what it says on the tin.,0,2020-02-15
13110,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,No complaints,Cyrus Coxswain,5.0,United Kingdom,Verified Purchase,"So far, so good.",0,2020-02-21
13111,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,ps4,Jack Simpson,5.0,United Kingdom,Verified Purchase,really good for what i’m using it for to store games for my ps4,0,2020-02-15
13127,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great portable hard drive,Vicky2005,5.0,United Kingdom,Verified Purchase,Quick delivery,0,2020-02-03
13144,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,good product,kevin tsang ho wang,5.0,United Kingdom,Verified Purchase,"fast when saving files, large capacity and unlikely to go hot while use",0,2020-01-13
13152,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Practical,chris collins,5.0,United Kingdom,Verified Purchase,Good size hard drive works easily and quickly,0,2020-03-04
13154,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Superb,Paul,5.0,United Kingdom,Verified Purchase,Works fantastic with Xbox one.,0,2020-01-18
13164,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Set up,alex Cox,5.0,United Kingdom,Verified Purchase,The product was very easy to set up with my PS4,0,2020-02-11
13168,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Bargain buy,Mrdouble0,5.0,United Kingdom,Verified Purchase,Great value and Reliability,0,2020-03-07
13170,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good product,John Puttock,4.0,United Kingdom,Verified Purchase,Just what I was looking for. Handy item,0,2020-02-10
13172,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Fab product!,Sonia Venoux,5.0,United Kingdom,Verified Purchase,Fab product!,0,2020-01-12
13182,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Price,Christopher Wardle,4.0,United Kingdom,Verified Purchase,Good product,0,2020-02-28
13187,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Perfect,Adam Calladine,5.0,United Kingdom,Verified Purchase,"Works really fast, storage is great and looks amazing",0,2020-01-22
13189,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good External HD,Voldemars,5.0,United Kingdom,Verified Purchase,It is compact. It is the same size as 1 TB.,0,2019-12-31
13194,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Perfect,MRS L MACDONALD,5.0,United Kingdom,Verified Purchase,Memory for x box,0,2020-01-21
13195,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Ease of use,patricia hunter,5.0,United Kingdom,Verified Purchase,Easy to use,0,2019-12-18
13198,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,B,ian r taylor,5.0,United Kingdom,Verified Purchase,It was just the ticket,0,2020-02-13
13203,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Easy to use once formatted drag and drop,Wayne L.,1.0,United Kingdom,Verified Purchase,Needed formatting to a mac,0,2020-03-08
13210,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Works with XBox One,Martin,5.0,United Kingdom,Verified Purchase,Does the job,0,2020-03-11
13217,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Not really 3tb,Narinderpal Singh,3.0,United Kingdom,Verified Purchase,Not 3tb only 2.7.,0,2020-02-14
13219,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good little product,Alan T.,5.0,United Kingdom,Verified Purchase,Does the job,0,2020-03-26
13225,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good,Mohammed A.,4.0,United Kingdom,Verified Purchase,Does the job,0,2020-01-17
13226,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Lol,Lefty,5.0,United Kingdom,Verified Purchase,Very very very good,0,2020-03-01
13231,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Backups,Andrew P,5.0,United Kingdom,Verified Purchase,A great way to backup my stuff,0,2020-02-05
13235,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Good,Rafael Rossoni,5.0,United Kingdom,Verified Purchase,Awesome and small,0,2020-02-09
13249,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Great product,Cat owner,5.0,United Kingdom,Verified Purchase,Great product,0,2020-01-20
13251,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Very nice,sojan a p,5.0,United Kingdom,Verified Purchase,Worthy....  Nice gadget,0,2020-01-02
13272,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Never had a problem with Western Digital,MR S.,5.0,United Kingdom,Verified Purchase,Great product!,0,2020-01-05
13285,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Storage Capacity,Minster Leon,5.0,United Kingdom,Verified Purchase,OLL OK,0,2020-01-12
13460,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Small and compact,Nick,5.0,United Kingdom,nan,Great little storage device,0,2020-02-12
13464,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Easy as pie,Paul Bexley,5.0,United Kingdom,nan,Absolutely brilliantSmall unit easy setup works flawlesslyAnyone says different must be doing something wrong or has a problem,0,2019-12-28
13483,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,Very good,AMKrishnan,5.0,United Kingdom,Verified Purchase,Pretty good. Easy to set up - just plug in the cable on one side and the other into your device. I'm using this for my PS4. The PS4 will say it's unsupported but you need to go to set it up. Takes a min and very easy. So simple to transfer games from the PS4 HDD to this. Hopefully won't break!This also seems very portable if you're gonna use it for other devices instead. Not very big or thick and can easily be put in a bag although I'd recommend putting it into a case so it doesn't get damaged.,0,2020-01-01
13491,"WD 4 TB Elements Portable External Hard Drive - USB 3.0, Black",4.7,32447,69.74,small & smart,Watson,5.0,United Kingdom,Verified Purchase,"Great little unit, slimmer than a Samsung equivalent. Worked straight out of the box, no problem setting up. It has been working for a couple of months now . I'm very pleased with it. Avoid really cheap units as loosing your information is such a major problem. Buy a brand name for better reliability. WD are a good company.I would and probably will buy a second unit.",0,2020-02-17
